type;material name;length;width;thickness;material number;stock;stock av;stock1;stock2;stock3;stock4;stock5;stock6;reserved stock;customer ID;stock manual rests;stock of block storage;density
1;CB9_36x18;3620;1820;9;0;7;7;7;0;0;0;0;0;0;CB11_36X18;0;0;790;
2;CB12_36x18;3620;1820;12;0;12;12;12;0;0;0;0;0;0;CB12_36X18;0;0;790;
3;CB16_36x18;3620;1820;16;0;12;12;12;0;0;0;0;0;0;CB16_36X18;0;0;790;
4;CB18_36x18;3620;1820;18;0;2;2;2;0;0;0;0;0;0;CB18_36X18;0;0;890;
5;CB25_36x18;3620;1820;25;0;3;3;3;0;0;0;0;0;0;CB25_36X18;0;0;790;
8;SCRAP_CB12_24x18;2420;1820;12;0;4;4;4;0;0;0;0;0;0;SCRCB12_24X18;0;0;790;
9;SCRAP_CB16_24x18;2420;1820;16;0;12;12;12;0;0;0;0;0;0;SCRCB16_24X18;0;0;790;
10;SCRAP_CB16_2445x1830;2445;1830;16;0;4;4;4;0;0;0;0;0;0;CB16_2445X1830;0;0;790;
11;SCRAP_CB18_24x18;2420;1820;18;0;1;1;1;0;0;0;0;0;0;SCRCB18_24X18;0;0;790;
12;SCRAP_CB25_24x18;2420;1820;25;0;1;1;1;0;0;0;0;0;0;SCRCB25_24X18;0;0;790;
15;SCRAP_CB12_24x12;2420;1210;12;0;1;1;1;0;0;0;0;0;0;SCRCB12_24X12;0;0;790;
16;SCRAP_CB16_24x12;2420;1210;16;0;7;7;7;0;0;0;0;0;0;SCRCB16_24X12;0;0;790;
20;SCRAP_CB18_36x18;3610;1580;18;0;1;1;1;0;0;0;0;0;0;SCRCB18_36X18;0;0;790;
22;CB18_RAWMDF_3120X1210;3130;1215;18;0;1;1;1;0;0;0;0;0;0;CB18_MDF_31X12;0;0;790;
24;CB16_RAWMDF_31X12;3120;1210;16;0;2;2;2;0;0;0;0;0;0;CB16_MDF_31X12;0;0;790;
25;CB16_24X12;2420;1210;16;0;23;23;23;0;0;0;0;0;0;CB16_24X12;0;0;790;
30;MagneticWhite18_Gloss_Timberwood_24x12_FACEUP;2410;1205;18;0;9;9;9;0;0;0;0;0;0;342796;0;0;790;
31;MagneticWhite18_Gloss_Timberwood_30x12_FACEUP;3045;1205;18;0;5;5;5;0;0;0;0;0;0;343479;0;0;790;
46;White16_Carcass_2420x1820_WHITE16LMX;2420;1820;16;0;39;38;39;0;0;0;0;0;1;WHITE16LMX;0;0;790;
47;White16_Carcass_2420x1820_WHITE16PT;2420;1820;16;0;5;5;5;0;0;0;0;0;0;WHITE16PT;0;0;790;
52;Black18_AbsoluteMatt_Titus_24x12_G2S;2440;1220;18;0;12;12;12;0;0;0;0;0;0;290524701;0;0;790;
54;Black9_Matt_PT_24x12_G2S;2420;1210;9;0;1;1;1;0;0;0;0;0;0;PT420;0;0;790;
55;AgedAsh18_Chalk_LMX_24x12_G2S_SKU985535;2420;1210;18;0;4;4;4;0;0;0;0;0;0;SKU985535;0;0;790;
57;Charcoal18_Flint_Lmx_36x18_G2S_SKU942948;3625;1820;18;0;2;2;2;0;0;0;0;0;0;SKU942948;0;0;790;
58;Aries25_Flint_LMX_36x18_G2S_SKU982640;3625;1820;25;0;1;1;1;0;0;0;0;0;0;SKU982640;0;0;790;
60;FlorentineWalnut18_WoodMatt_PT_36x18_G2S_PT47443;3630;1820;18;0;8;8;8;0;0;0;0;0;0;PT47443;0;0;790;
62;LiguirianWalnut25_WM_PT_3625x1820;3625;1820;25;0;1;1;1;0;0;0;0;0;0;PT52541;0;0;790;
67;NaturalPly33_Wm_PT_36x18_G2S_PT52600;3625;1820;33;0;1;1;1;0;0;0;0;0;0;PT52600;0;0;760;
70;BostonOak25_Wm_PT_36x18_G2S_PT51910;3625;1820;25;0;25;25;25;0;0;0;0;0;0;PT51910;0;0;760;
71;PrimeOak18_Matt_PT_36x18_G2S_PT53449;3630;1820;18;0;9;9;9;0;0;0;0;0;0;PT53449;0;0;760;
72;EmpireOak18_Wm_PT_36x18_G2S_PT47441;3630;1820;18;0;1;1;1;0;0;0;0;0;0;PT47441;0;0;760;
73;ClassicOak25_Natural_Lmx_36x18_G2S_SKU984602;3625;1820;25;0;2;2;2;0;0;0;0;0;0;SKU984602;0;0;760;
74;Parchment18_Flint_Lmx_36x18_G2S_SKU881590;3625;1820;18;0;3;3;3;0;0;0;0;0;0;SKU881590;0;0;760;
76;White25_Flint_Lmx_36x18_G2S_SKU881301;3625;1820;25;0;3;3;3;0;0;0;0;0;0;SKU881301;0;0;760;
81;Fox18_Flint_Lmx_36x18_G2S_SKU982631;3625;1820;18;0;1;1;1;0;0;0;0;0;0;SKU982631;0;0;760;
82;ElegantOak25_Natural_Lmx_36x18_G2S_SKU982646;3625;1820;25;0;3;3;3;0;0;0;0;0;0;SKU982646;0;0;760;
93;CalmOak25_Flint_LMX_36x18_G2S_SKU401093;3625;1820;25;0;51;51;51;0;0;0;0;0;0;SKU401093;0;0;760;
94;CalmOak33_Flint_LMX_36x18_G2S_SKU401105;3625;1820;33;0;2;2;2;0;0;0;0;0;0;SKU401105;0;0;760;
96;PlankedUrbanOak18_Natural_Lmx_36x18_G2S_SKU401084;3625;1820;18;0;3;3;3;0;0;0;0;0;0;SKU401084;0;0;760;
97;Black18_AbsoluteGloss_Lmx_36x18_G2S_SKU988255;3630;1210;18;0;1;1;1;0;0;0;0;0;0;SKU988255;0;0;760;
98;ElegantOak18_Natural_LMX_36x18_G2S_SKU982636;3625;1820;18;0;13;13;13;0;0;0;0;0;0;SKU982636;0;0;760;
103;RawBirchply18_Natural_Lmx_36x18_G2S;3625;1820;18;0;1;1;1;0;0;0;0;0;0;SKU985251;0;0;760;
105;PolarWhite18_MATT_PT_36x18_G2S;3625;1820;18;0;1;1;1;0;0;0;0;0;0;PT14174;0;0;760;
108;RawBirchply25_Natural_Lmx_36x18_G2S;3625;1820;25;0;3;3;3;0;0;0;0;0;0;SKU985255;0;0;760;
109;RawBirchply33_Natural_36x18_G2S_LMX985259;3625;1820;33;0;1;1;1;0;0;0;0;0;0;LMX985259;0;0;760;
110;ClassicOak33_NaturalPB_Lmx_36x18_G2S;3625;1820;33;0;5;5;5;0;0;0;0;0;0;SKU984603;0;0;760;
111;PolarWhite18_FlintPB_Lmx_36x18_G2S_SKU970442;3625;1820;18;0;1;1;1;0;0;0;0;0;0;SKU970442;0;0;760;
113;PolarWhite33_FlintPB_Lmx_36x18_G2S_SKU906519;3625;1820;33;0;6;6;6;0;0;0;0;0;0;SKU906519;0;0;760;
114;BostonOak18_WOODMATT_PT_36x18_PT51909;3625;1820;18;0;45;45;45;0;0;0;0;0;0;PT51909;0;0;760;
115;ClassicOak18_NaturalMDF_Lmx_36x18_G2S;3625;1820;18;0;4;4;4;0;0;0;0;0;0;SKU402836;0;0;760;
116;BostonOak33_WM_PT_36x18_G2S_PT51911;3625;1820;33;0;7;7;7;0;0;0;0;0;0;PT51911;0;0;760;
128;Black18_Flint_Lmx_36x18_G2S_SKU908249;3625;1820;18;0;7;7;7;0;0;0;0;0;0;SKU908249;0;0;760;
129;SmokerSapelle18_Natural_Lmx_24x12_G2S;2420;1210;18;0;3;3;3;0;0;0;0;0;0;SKU912901;0;0;760;
130;AgedAsh16_Chalk_LMX_24x12_G2S_SKU985507;2420;1210;16;0;3;3;3;0;0;0;0;0;0;SKU985507;0;0;760;
132;White9_Flint_PT_24x12_G2S_PT52973;2420;1210;9;0;4;4;4;0;0;0;0;0;0;PT52973;0;0;760;
135;CB18_3630X1820;3625;1820;18;0;11;11;11;0;0;0;0;0;0;CB18_3600X1800;0;0;760;
137;Plywood12_Natural_Lmx_24x12_G2S_SKU403094;2420;1210;12;0;2;2;2;0;0;0;0;0;0;SKU403094;0;0;790;
144;HushedPine16_Flint_PT_24x12_G2S_SKU994065;2420;1210;16;0;5;5;5;0;0;0;0;0;0;SKU994065;0;0;790;
148;StainlessSteel16__Brushed_PT_36x12_FaceUp_PT10679;3630;1210;16;0;11;11;11;0;0;0;0;0;0;PT10679;0;0;790;
149;NaturalPly16__Wm_PT_31x12_G2S_PT54311;3130;1210;16;0;5;5;5;0;0;0;0;0;0;PT54311;0;0;790;
150;White15_STD_HND_27x12_G2S;2720;1215;15;0;10;10;10;0;0;0;0;0;0;WHITE152712;0;0;790;
154;CB16_24x12_G2S_SKU985213;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU985213;0;0;790;
155;CB16_24x12_140725420;2420;1210;16;0;1;1;1;0;0;0;0;0;0;140725420CHB;0;0;790;
156;ClassicOak16_Natural_Lmx_24x12_G2S_SKU984370;2420;1210;16;0;1;1;1;0;0;0;0;0;0;SKU984370;0;0;790;
161;CB16_24x12_G2S_PT8419;2420;1210;16;0;1;1;1;0;0;0;0;0;0;PT8419;0;0;790;
168;PlankedUrbanOak25_Flint_Lmx_36x18_G2S_SKU401100;3625;1820;25;0;3;3;3;0;0;0;0;0;0;SKU401100;0;0;760;
170;NaturalOak18_Matt_PT_36x18_G2S_PT43668;3625;1820;18;0;6;6;6;0;0;0;0;0;0;PT43668;0;0;760;
171;CalmOak18_Chalk_Lmx_36x18_G2S_SKU401113;3625;1820;18;0;2;2;2;0;0;0;0;0;0;SKU401113;0;0;760;
174;NataioWalnut25_Matt_PT_36x18_G2S_PT47523;3625;1820;25;0;44;44;44;0;0;0;0;0;0;PT47523;0;0;760;
179;NaturalPly18__WoodMatt_PT_36x18_G2S_PT52598;3625;1820;18;0;1;1;1;0;0;0;0;0;0;PT52598;0;0;760;
181;TasmanianOak33_WoodMatt_PT_36x18_G2S_PT47475;3625;1820;33;0;3;3;3;0;0;0;0;0;0;PT47475;0;0;760;
183;ByronBlackbutt25_FaceUp_Nav_36x12_G1S_Nav200624100;3630;1210;25;0;1;1;1;0;0;0;0;0;0;NAV200624145;0;0;760;
184;Black33MDF_Matt_PT_36x18_G2S_PT26508;3630;1820;33;0;2;2;2;0;0;0;0;0;0;PT26508;0;0;760;
186;CrispWhiteLegato18_Flint_PT_24X12_G2S_PT26757;2420;1210;18;0;1;1;1;0;0;0;0;0;0;PT26757;0;0;760;
190;AgaveSmooth16_Natural_PT_24x12_G2S_PT51419;2420;1210;16;0;3;3;3;0;0;0;0;0;0;PT51419;0;0;760;
191;AdriaticSmooth18_Natural_PT_24x12_G2S_PT56670;2420;1210;18;0;1;1;1;0;0;0;0;0;0;PT56670;0;0;760;
195;FreshSpring18_Natural_Lmx_24x12_G2S_SKU989365;2420;1210;18;0;1;1;1;0;0;0;0;0;0;SKU989365;0;0;760;
197;Black33_Flint_Lmx_36x18_G2S_SKU959203;3630;1820;33;0;4;4;4;0;0;0;0;0;0;SKU959203;0;0;760;
198;CB16_2420X1210_140725420;2420;1210;16;0;6;6;6;0;0;0;0;0;0;140725420;0;0;760;
204;PlywoodCxDGrade15_Ply_Tm_24x12_G2S_080724745;2400;1200;15;0;1;1;1;0;0;0;0;0;0;080724745;0;0;760;
